forecast_id,forecast_date,store_id,item_id,dc_id,forecast_week,forecast_units,forecast_cases,ci_low,ci_high,actual_units,forecast_bias,mape,model_version
2500,2024-01-21,41,689,DC016,3,30,2,24,36,31,1,3.23,v2.2
2501,2024-01-21,4,956,DC020,3,21,1,16,25,18,-3,16.67,v3.8
2502,2024-01-21,4,978,DC021,3,14,1,11,16,14,0,0.0,v2.7
2503,2024-01-21,4,96,DC025,3,20,1,16,24,16,-4,25.0,v1.0
2504,2024-01-21,4,243,DC001,3,21,1,16,25,17,-4,23.53,v2.0
2505,2024-01-21,4,267,DC011,3,23,1,18,27,27,4,14.81,v1.7
2506,2024-01-21,4,301,DC008,3,14,1,11,16,12,-2,16.67,v1.3
2507,2024-01-21,4,625,DC024,3,15,1,12,18,13,-2,15.38,v3.8
2508,2024-01-21,4,771,DC014,3,21,1,16,25,23,2,8.7,v2.0
2509,2024-01-21,4,104,DC019,3,30,2,24,36,28,-2,7.14,v1.8
2510,2024-01-21,4,516,DC009,3,20,1,16,24,22,2,9.09,v2.8
2511,2024-01-21,4,640,DC021,3,20,1,16,24,18,-2,11.11,v2.2
2512,2024-01-21,4,699,DC016,3,18,1,14,21,19,1,5.26,v3.2
2513,2024-01-21,4,594,DC018,3,22,1,17,26,25,3,12.0,v3.8
2514,2024-01-21,4,653,DC025,3,13,1,10,15,11,-2,18.18,v1.2
2515,2024-01-21,4,969,DC008,3,19,1,15,22,20,1,5.0,v1.1
2516,2024-01-21,4,737,DC013,3,22,1,17,26,18,-4,22.22,v1.5
2517,2024-01-21,4,605,DC022,3,12,1,9,14,12,0,0.0,v2.7
2518,2024-01-21,4,647,DC010,3,17,1,13,20,19,2,10.53,v3.4
2519,2024-01-21,4,383,DC019,3,18,1,14,21,16,-2,12.5,v1.4
2520,2024-01-21,4,116,DC016,3,24,2,19,28,21,-3,14.29,v3.0
2521,2024-01-21,4,976,DC024,3,19,1,15,22,16,-3,18.75,v2.8
2522,2024-01-21,4,403,DC023,3,19,1,15,22,17,-2,11.76,v3.0
2523,2024-01-21,4,50,DC019,3,16,1,12,19,16,0,0.0,v1.4
2524,2024-01-21,4,439,DC006,3,20,1,16,24,20,0,0.0,v3.1
2525,2024-01-21,4,804,DC010,3,22,1,17,26,19,-3,15.79,v3.0
2526,2024-01-21,4,749,DC016,3,21,1,16,25,22,1,4.55,v3.9
2527,2024-01-21,4,761,DC016,3,24,2,19,28,24,0,0.0,v2.9
2528,2024-01-21,4,442,DC014,3,22,1,17,26,20,-2,10.0,v1.8
2529,2024-01-21,4,990,DC017,3,18,1,14,21,15,-3,20.0,v3.3
2530,2024-01-21,4,498,DC011,3,16,1,12,19,16,0,0.0,v2.6
2531,2024-01-21,4,115,DC012,3,19,1,15,22,21,2,9.52,v2.4
2532,2024-01-21,4,470,DC024,3,16,1,12,19,12,-4,33.33,v3.4
2533,2024-01-21,4,77,DC008,3,22,1,17,26,18,-4,22.22,v2.6
2534,2024-01-21,4,953,DC010,3,24,2,19,28,25,1,4.0,v2.9
2535,2024-01-21,4,917,DC016,3,24,2,19,28,27,3,11.11,v2.2
2536,2024-01-21,4,201,DC012,3,20,1,16,24,17,-3,17.65,v2.4
2537,2024-01-21,4,331,DC008,3,23,1,18,27,24,1,4.17,v1.9
2538,2024-01-21,4,197,DC024,3,22,1,17,26,19,-3,15.79,v2.3
2539,2024-01-21,4,481,DC009,3,13,1,10,15,14,1,7.14,v1.0
2540,2024-01-21,4,495,DC002,3,19,1,15,22,17,-2,11.76,v2.4
2541,2024-01-21,4,343,DC014,3,28,2,22,33,24,-4,16.67,v3.7
2542,2024-01-21,4,966,DC021,3,17,1,13,20,17,0,0.0,v1.8
2543,2024-01-21,4,534,DC015,3,22,1,17,26,21,-1,4.76,v1.0
2544,2024-01-21,4,338,DC021,3,23,1,18,27,26,3,11.54,v3.8
2545,2024-01-21,4,577,DC010,3,20,1,16,24,22,2,9.09,v2.0
2546,2024-01-21,4,845,DC017,3,28,2,22,33,30,2,6.67,v3.0
2547,2024-01-21,4,750,DC015,3,28,2,22,33,31,3,9.68,v3.4
2548,2024-01-21,4,715,DC004,3,18,1,14,21,18,0,0.0,v3.1
2549,2024-01-21,4,688,DC015,3,14,1,11,16,15,1,6.67,v2.9
2550,2024-01-21,4,689,DC023,3,19,1,15,22,15,-4,26.67,v1.1
2551,2024-01-21,22,956,DC006,3,12,1,9,14,9,-3,33.33,v2.0
2552,2024-01-21,22,978,DC020,3,20,1,16,24,21,1,4.76,v3.7
2553,2024-01-21,22,96,DC013,3,22,1,17,26,20,-2,10.0,v3.2
2554,2024-01-21,22,243,DC017,3,20,1,16,24,20,0,0.0,v3.3
2555,2024-01-21,22,267,DC018,3,17,1,13,20,18,1,5.56,v2.6
2556,2024-01-21,22,301,DC024,3,26,2,20,31,26,0,0.0,v1.2
2557,2024-01-21,22,625,DC009,3,16,1,12,19,17,1,5.88,v3.4
2558,2024-01-21,22,771,DC022,3,22,1,17,26,23,1,4.35,v1.3
2559,2024-01-21,22,104,DC002,3,19,1,15,22,22,3,13.64,v3.2
2560,2024-01-21,22,516,DC018,3,17,1,13,20,17,0,0.0,v1.5
2561,2024-01-21,22,640,DC016,3,20,1,16,24,21,1,4.76,v3.4
2562,2024-01-21,22,699,DC021,3,14,1,11,16,14,0,0.0,v1.9
2563,2024-01-21,22,594,DC022,3,21,1,16,25,22,1,4.55,v3.9
2564,2024-01-21,22,653,DC023,3,24,2,19,28,25,1,4.0,v3.7
2565,2024-01-21,22,969,DC007,3,21,1,16,25,19,-2,10.53,v3.7
2566,2024-01-21,22,737,DC004,3,27,2,21,32,29,2,6.9,v2.1
2567,2024-01-21,22,605,DC014,3,14,1,11,16,16,2,12.5,v1.7
2568,2024-01-21,22,647,DC006,3,25,2,20,30,29,4,13.79,v3.2
2569,2024-01-21,22,383,DC019,3,20,1,16,24,18,-2,11.11,v3.2
2570,2024-01-21,22,116,DC008,3,18,1,14,21,18,0,0.0,v3.8
2571,2024-01-21,22,976,DC012,3,22,1,17,26,18,-4,22.22,v3.6
2572,2024-01-21,22,403,DC021,3,18,1,14,21,17,-1,5.88,v2.0
2573,2024-01-21,22,50,DC017,3,21,1,16,25,18,-3,16.67,v1.8
2574,2024-01-21,22,439,DC009,3,12,1,9,14,13,1,7.69,v3.8
2575,2024-01-21,22,804,DC014,3,17,1,13,20,19,2,10.53,v1.6
2576,2024-01-21,22,749,DC007,3,15,1,12,18,16,1,6.25,v3.0
2577,2024-01-21,22,761,DC014,3,25,2,20,30,20,-5,25.0,v3.5
2578,2024-01-21,22,442,DC017,3,17,1,13,20,17,0,0.0,v1.4
2579,2024-01-21,22,990,DC020,3,15,1,12,18,15,0,0.0,v1.9
2580,2024-01-21,22,498,DC003,3,16,1,12,19,18,2,11.11,v2.2
2581,2024-01-21,22,115,DC003,3,18,1,14,21,18,0,0.0,v2.7
2582,2024-01-21,22,470,DC005,3,25,2,20,30,27,2,7.41,v1.7
2583,2024-01-21,22,77,DC005,3,15,1,12,18,12,-3,25.0,v3.0
2584,2024-01-21,22,953,DC014,3,17,1,13,20,13,-4,30.77,v2.6
2585,2024-01-21,22,917,DC013,3,24,2,19,28,25,1,4.0,v2.8
2586,2024-01-21,22,201,DC011,3,17,1,13,20,20,3,15.0,v3.1
2587,2024-01-21,22,331,DC005,3,15,1,12,18,16,1,6.25,v2.5
2588,2024-01-21,22,197,DC003,3,25,2,20,30,22,-3,13.64,v2.1
2589,2024-01-21,22,481,DC012,3,20,1,16,24,17,-3,17.65,v1.0
2590,2024-01-21,22,495,DC015,3,19,1,15,22,21,2,9.52,v3.6
2591,2024-01-21,22,343,DC013,3,12,1,9,14,13,1,7.69,v2.9
2592,2024-01-21,22,966,DC002,3,25,2,20,30,24,-1,4.17,v2.1
2593,2024-01-21,22,534,DC004,3,23,1,18,27,26,3,11.54,v3.4
2594,2024-01-21,22,338,DC005,3,23,1,18,27,24,1,4.17,v3.6
2595,2024-01-21,22,577,DC020,3,22,1,17,26,18,-4,22.22,v1.2
2596,2024-01-21,22,845,DC017,3,20,1,16,24,18,-2,11.11,v1.5
2597,2024-01-21,22,750,DC002,3,24,2,19,28,20,-4,20.0,v2.3
2598,2024-01-21,22,715,DC004,3,22,1,17,26,22,0,0.0,v2.4
2599,2024-01-21,22,688,DC017,3,14,1,11,16,11,-3,27.27,v1.2
2600,2024-01-21,22,689,DC009,3,21,1,16,25,23,2,8.7,v2.2
2601,2024-01-21,46,956,DC006,3,22,1,17,26,18,-4,22.22,v2.7
2602,2024-01-21,46,978,DC021,3,24,2,19,28,26,2,7.69,v2.9
2603,2024-01-21,46,96,DC021,3,16,1,12,19,16,0,0.0,v2.9
2604,2024-01-21,46,243,DC018,3,24,2,19,28,20,-4,20.0,v1.0
2605,2024-01-21,46,267,DC019,3,26,2,20,31,24,-2,8.33,v2.1
2606,2024-01-21,46,301,DC025,3,19,1,15,22,19,0,0.0,v2.1
2607,2024-01-21,46,625,DC008,3,14,1,11,16,11,-3,27.27,v3.0
2608,2024-01-21,46,771,DC004,3,22,1,17,26,21,-1,4.76,v2.8
2609,2024-01-21,46,104,DC006,3,20,1,16,24,23,3,13.04,v2.8
2610,2024-01-21,46,516,DC024,3,10,1,8,12,8,-2,25.0,v2.9
2611,2024-01-21,46,640,DC018,3,19,1,15,22,18,-1,5.56,v2.4
2612,2024-01-21,46,699,DC014,3,20,1,16,24,22,2,9.09,v3.0
2613,2024-01-21,46,594,DC002,3,22,1,17,26,21,-1,4.76,v3.7
2614,2024-01-21,46,653,DC012,3,21,1,16,25,18,-3,16.67,v1.4
2615,2024-01-21,46,969,DC011,3,22,1,17,26,20,-2,10.0,v1.6
2616,2024-01-21,46,737,DC017,3,19,1,15,22,19,0,0.0,v2.8
2617,2024-01-21,46,605,DC011,3,20,1,16,24,17,-3,17.65,v3.2
2618,2024-01-21,46,647,DC011,3,19,1,15,22,21,2,9.52,v2.1
2619,2024-01-21,46,383,DC024,3,26,2,20,31,28,2,7.14,v1.3
2620,2024-01-21,46,116,DC009,3,20,1,16,24,21,1,4.76,v2.1
2621,2024-01-21,46,976,DC023,3,24,2,19,28,20,-4,20.0,v3.1
2622,2024-01-21,46,403,DC017,3,18,1,14,21,16,-2,12.5,v1.5
2623,2024-01-21,46,50,DC014,3,26,2,20,31,27,1,3.7,v2.7
2624,2024-01-21,46,439,DC018,3,22,1,17,26,22,0,0.0,v1.3
2625,2024-01-21,46,804,DC017,3,23,1,18,27,22,-1,4.55,v1.3
2626,2024-01-21,46,749,DC025,3,22,1,17,26,25,3,12.0,v2.7
2627,2024-01-21,46,761,DC004,3,14,1,11,16,14,0,0.0,v1.0
2628,2024-01-21,46,442,DC019,3,17,1,13,20,14,-3,21.43,v3.6
2629,2024-01-21,46,990,DC019,3,24,2,19,28,20,-4,20.0,v2.3
2630,2024-01-21,46,498,DC024,3,17,1,13,20,15,-2,13.33,v2.7
2631,2024-01-21,46,115,DC008,3,17,1,13,20,18,1,5.56,v3.9
2632,2024-01-21,46,470,DC007,3,26,2,20,31,27,1,3.7,v3.3
2633,2024-01-21,46,77,DC021,3,18,1,14,21,16,-2,12.5,v2.4
2634,2024-01-21,46,953,DC006,3,16,1,12,19,18,2,11.11,v2.1
2635,2024-01-21,46,917,DC006,3,22,1,17,26,22,0,0.0,v2.6
2636,2024-01-21,46,201,DC023,3,25,2,20,30,27,2,7.41,v1.6
2637,2024-01-21,46,331,DC012,3,21,1,16,25,16,-5,31.25,v2.6
2638,2024-01-21,46,197,DC012,3,14,1,11,16,15,1,6.67,v2.8
2639,2024-01-21,46,481,DC016,3,15,1,12,18,16,1,6.25,v1.9
2640,2024-01-21,46,495,DC022,3,20,1,16,24,22,2,9.09,v1.4
2641,2024-01-21,46,343,DC007,3,13,1,10,15,12,-1,8.33,v3.4
2642,2024-01-21,46,966,DC018,3,15,1,12,18,13,-2,15.38,v3.0
2643,2024-01-21,46,534,DC023,3,19,1,15,22,19,0,0.0,v3.4
2644,2024-01-21,46,338,DC022,3,24,2,19,28,24,0,0.0,v3.1
2645,2024-01-21,46,577,DC024,3,16,1,12,19,16,0,0.0,v3.6
2646,2024-01-21,46,845,DC004,3,20,1,16,24,21,1,4.76,v1.4
2647,2024-01-21,46,750,DC016,3,17,1,13,20,20,3,15.0,v2.6
2648,2024-01-21,46,715,DC018,3,22,1,17,26,21,-1,4.76,v2.7
2649,2024-01-21,46,688,DC009,3,14,1,11,16,15,1,6.67,v2.7
2650,2024-01-21,46,689,DC024,3,27,2,21,32,22,-5,22.73,v3.0
2651,2024-01-21,47,956,DC012,3,23,1,18,27,24,1,4.17,v1.9
2652,2024-01-21,47,978,DC002,3,11,1,8,13,11,0,0.0,v2.5
2653,2024-01-21,47,96,DC025,3,12,1,9,14,10,-2,20.0,v2.3
2654,2024-01-21,47,243,DC022,3,16,1,12,19,16,0,0.0,v3.1
2655,2024-01-21,47,267,DC015,3,19,1,15,22,18,-1,5.56,v3.0
2656,2024-01-21,47,301,DC012,3,21,1,16,25,21,0,0.0,v1.2
2657,2024-01-21,47,625,DC024,3,18,1,14,21,15,-3,20.0,v3.8
2658,2024-01-21,47,771,DC009,3,18,1,14,21,16,-2,12.5,v3.8
2659,2024-01-21,47,104,DC005,3,17,1,13,20,17,0,0.0,v1.5
2660,2024-01-21,47,516,DC017,3,17,1,13,20,16,-1,6.25,v2.7
2661,2024-01-21,47,640,DC004,3,19,1,15,22,18,-1,5.56,v1.6
2662,2024-01-21,47,699,DC009,3,21,1,16,25,20,-1,5.0,v2.1
2663,2024-01-21,47,594,DC008,3,15,1,12,18,16,1,6.25,v3.0
2664,2024-01-21,47,653,DC007,3,18,1,14,21,18,0,0.0,v3.2
2665,2024-01-21,47,969,DC011,3,22,1,17,26,23,1,4.35,v1.2
2666,2024-01-21,47,737,DC022,3,23,1,18,27,26,3,11.54,v1.9
2667,2024-01-21,47,605,DC008,3,13,1,10,15,12,-1,8.33,v1.8
2668,2024-01-21,47,647,DC016,3,23,1,18,27,22,-1,4.55,v1.3
2669,2024-01-21,47,383,DC004,3,26,2,20,31,27,1,3.7,v2.7
2670,2024-01-21,47,116,DC004,3,18,1,14,21,17,-1,5.88,v2.7
2671,2024-01-21,47,976,DC015,3,20,1,16,24,20,0,0.0,v2.4
2672,2024-01-21,47,403,DC004,3,14,1,11,16,11,-3,27.27,v2.5
2673,2024-01-21,47,50,DC015,3,17,1,13,20,14,-3,21.43,v1.3
2674,2024-01-21,47,439,DC016,3,25,2,20,30,20,-5,25.0,v3.6
2675,2024-01-21,47,804,DC017,3,19,1,15,22,17,-2,11.76,v1.5
2676,2024-01-21,47,749,DC003,3,15,1,12,18,12,-3,25.0,v3.3
2677,2024-01-21,47,761,DC018,3,12,1,9,14,14,2,14.29,v1.8
2678,2024-01-21,47,442,DC017,3,21,1,16,25,19,-2,10.53,v1.0
2679,2024-01-21,47,990,DC009,3,19,1,15,22,18,-1,5.56,v2.2
2680,2024-01-21,47,498,DC023,3,12,1,9,14,12,0,0.0,v1.3
2681,2024-01-21,47,115,DC001,3,15,1,12,18,12,-3,25.0,v2.3
2682,2024-01-21,47,470,DC018,3,26,2,20,31,26,0,0.0,v3.0
2683,2024-01-21,47,77,DC003,3,22,1,17,26,17,-5,29.41,v2.7
2684,2024-01-21,47,953,DC014,3,17,1,13,20,19,2,10.53,v1.2
2685,2024-01-21,47,917,DC016,3,24,2,19,28,21,-3,14.29,v2.8
2686,2024-01-21,47,201,DC025,3,19,1,15,22,18,-1,5.56,v2.4
2687,2024-01-21,47,331,DC016,3,24,2,19,28,21,-3,14.29,v2.1
2688,2024-01-21,47,197,DC013,3,22,1,17,26,23,1,4.35,v1.5
2689,2024-01-21,47,481,DC008,3,28,2,22,33,31,3,9.68,v2.8
2690,2024-01-21,47,495,DC022,3,17,1,13,20,16,-1,6.25,v2.0
2691,2024-01-21,47,343,DC010,3,29,2,23,34,33,4,12.12,v2.6
2692,2024-01-21,47,966,DC002,3,20,1,16,24,17,-3,17.65,v1.6
2693,2024-01-21,47,534,DC019,3,19,1,15,22,20,1,5.0,v1.0
2694,2024-01-21,47,338,DC005,3,18,1,14,21,14,-4,28.57,v2.4
2695,2024-01-21,47,577,DC020,3,19,1,15,22,22,3,13.64,v3.2
2696,2024-01-21,47,845,DC004,3,14,1,11,16,12,-2,16.67,v1.0
2697,2024-01-21,47,750,DC006,3,20,1,16,24,16,-4,25.0,v1.6
2698,2024-01-21,47,715,DC001,3,26,2,20,31,22,-4,18.18,v3.4
2699,2024-01-21,47,688,DC015,3,23,1,18,27,22,-1,4.55,v2.5
2700,2024-01-21,47,689,DC021,3,22,1,17,26,20,-2,10.0,v3.4
2701,2024-01-21,49,956,DC010,3,22,1,17,26,25,3,12.0,v2.0
2702,2024-01-21,49,978,DC018,3,25,2,20,30,21,-4,19.05,v1.1
2703,2024-01-21,49,96,DC012,3,26,2,20,31,23,-3,13.04,v3.2
2704,2024-01-21,49,243,DC001,3,16,1,12,19,17,1,5.88,v3.3
2705,2024-01-21,49,267,DC006,3,16,1,12,19,18,2,11.11,v2.1
2706,2024-01-21,49,301,DC011,3,18,1,14,21,19,1,5.26,v2.3
2707,2024-01-21,49,625,DC024,3,18,1,14,21,18,0,0.0,v2.5
2708,2024-01-21,49,771,DC012,3,17,1,13,20,19,2,10.53,v2.2
2709,2024-01-21,49,104,DC020,3,19,1,15,22,22,3,13.64,v2.9
2710,2024-01-21,49,516,DC011,3,20,1,16,24,16,-4,25.0,v1.2
2711,2024-01-21,49,640,DC012,3,20,1,16,24,20,0,0.0,v2.3
2712,2024-01-21,49,699,DC022,3,35,2,28,42,29,-6,20.69,v1.8
2713,2024-01-21,49,594,DC020,3,29,2,23,34,24,-5,20.83,v2.0
2714,2024-01-21,49,653,DC020,3,21,1,16,25,21,0,0.0,v1.5
2715,2024-01-21,49,969,DC014,3,16,1,12,19,14,-2,14.29,v1.2
2716,2024-01-21,49,737,DC023,3,22,1,17,26,20,-2,10.0,v3.6
2717,2024-01-21,49,605,DC005,3,16,1,12,19,18,2,11.11,v1.5
2718,2024-01-21,49,647,DC024,3,19,1,15,22,16,-3,18.75,v2.7
2719,2024-01-21,49,383,DC020,3,27,2,21,32,23,-4,17.39,v1.1
2720,2024-01-21,49,116,DC012,3,29,2,23,34,24,-5,20.83,v1.5
2721,2024-01-21,49,976,DC009,3,20,1,16,24,18,-2,11.11,v1.3
2722,2024-01-21,49,403,DC014,3,19,1,15,22,15,-4,26.67,v3.2
2723,2024-01-21,49,50,DC006,3,18,1,14,21,20,2,10.0,v3.4
2724,2024-01-21,49,439,DC002,3,20,1,16,24,17,-3,17.65,v3.0
2725,2024-01-21,49,804,DC013,3,23,1,18,27,25,2,8.0,v1.6
2726,2024-01-21,49,749,DC014,3,18,1,14,21,21,3,14.29,v2.1
2727,2024-01-21,49,761,DC008,3,20,1,16,24,16,-4,25.0,v3.8
2728,2024-01-21,49,442,DC009,3,15,1,12,18,13,-2,15.38,v1.8
2729,2024-01-21,49,990,DC007,3,16,1,12,19,14,-2,14.29,v3.1
2730,2024-01-21,49,498,DC025,3,23,1,18,27,26,3,11.54,v1.7
2731,2024-01-21,49,115,DC018,3,22,1,17,26,25,3,12.0,v2.1
2732,2024-01-21,49,470,DC003,3,20,1,16,24,21,1,4.76,v1.2
2733,2024-01-21,49,77,DC010,3,15,1,12,18,16,1,6.25,v1.4
2734,2024-01-21,49,953,DC015,3,21,1,16,25,18,-3,16.67,v1.3
2735,2024-01-21,49,917,DC022,3,18,1,14,21,21,3,14.29,v2.8
2736,2024-01-21,49,201,DC011,3,28,2,22,33,29,1,3.45,v2.1
2737,2024-01-21,49,331,DC022,3,15,1,12,18,16,1,6.25,v3.9
2738,2024-01-21,49,197,DC002,3,24,2,19,28,22,-2,9.09,v1.8
2739,2024-01-21,49,481,DC020,3,30,2,24,36,29,-1,3.45,v3.8
2740,2024-01-21,49,495,DC005,3,15,1,12,18,17,2,11.76,v2.8
2741,2024-01-21,49,343,DC012,3,16,1,12,19,16,0,0.0,v1.1
2742,2024-01-21,49,966,DC018,3,31,2,24,37,36,5,13.89,v2.1
2743,2024-01-21,49,534,DC022,3,13,1,10,15,11,-2,18.18,v3.9
2744,2024-01-21,49,338,DC018,3,17,1,13,20,16,-1,6.25,v3.8
2745,2024-01-21,49,577,DC022,3,14,1,11,16,16,2,12.5,v2.9
2746,2024-01-21,49,845,DC002,3,22,1,17,26,18,-4,22.22,v1.4
2747,2024-01-21,49,750,DC020,3,14,1,11,16,16,2,12.5,v2.7
2748,2024-01-21,49,715,DC017,3,17,1,13,20,15,-2,13.33,v3.5
2749,2024-01-21,49,688,DC012,3,16,1,12,19,16,0,0.0,v3.1
2750,2024-01-21,49,689,DC016,3,13,1,10,15,12,-1,8.33,v1.4
2751,2024-01-21,10,956,DC022,3,18,1,14,21,17,-1,5.88,v3.2
2752,2024-01-21,10,978,DC013,3,16,1,12,19,13,-3,23.08,v2.6
2753,2024-01-21,10,96,DC012,3,15,1,12,18,14,-1,7.14,v2.1
2754,2024-01-21,10,243,DC013,3,22,1,17,26,19,-3,15.79,v2.9
2755,2024-01-21,10,267,DC020,3,22,1,17,26,26,4,15.38,v3.8
2756,2024-01-21,10,301,DC001,3,16,1,12,19,18,2,11.11,v1.9
2757,2024-01-21,10,625,DC020,3,25,2,20,30,27,2,7.41,v2.4
2758,2024-01-21,10,771,DC015,3,23,1,18,27,26,3,11.54,v3.9
2759,2024-01-21,10,104,DC017,3,16,1,12,19,14,-2,14.29,v3.7
2760,2024-01-21,10,516,DC013,3,23,1,18,27,23,0,0.0,v3.4
2761,2024-01-21,10,640,DC014,3,15,1,12,18,15,0,0.0,v1.3
2762,2024-01-21,10,699,DC019,3,15,1,12,18,17,2,11.76,v3.9
2763,2024-01-21,10,594,DC019,3,18,1,14,21,16,-2,12.5,v1.5
2764,2024-01-21,10,653,DC001,3,17,1,13,20,16,-1,6.25,v3.9
2765,2024-01-21,10,969,DC008,3,24,2,19,28,21,-3,14.29,v3.9
2766,2024-01-21,10,737,DC020,3,26,2,20,31,24,-2,8.33,v3.3
2767,2024-01-21,10,605,DC005,3,19,1,15,22,20,1,5.0,v1.0
2768,2024-01-21,10,647,DC014,3,20,1,16,24,18,-2,11.11,v3.0
2769,2024-01-21,10,383,DC023,3,22,1,17,26,19,-3,15.79,v1.1
2770,2024-01-21,10,116,DC018,3,17,1,13,20,16,-1,6.25,v3.5
2771,2024-01-21,10,976,DC024,3,22,1,17,26,26,4,15.38,v2.0
2772,2024-01-21,10,403,DC007,3,20,1,16,24,17,-3,17.65,v1.0
2773,2024-01-21,10,50,DC009,3,19,1,15,22,20,1,5.0,v1.0
2774,2024-01-21,10,439,DC006,3,21,1,16,25,17,-4,23.53,v2.9
2775,2024-01-21,10,804,DC019,3,24,2,19,28,20,-4,20.0,v1.7
2776,2024-01-21,10,749,DC017,3,24,2,19,28,24,0,0.0,v3.0
2777,2024-01-21,10,761,DC018,3,20,1,16,24,20,0,0.0,v3.6
2778,2024-01-21,10,442,DC015,3,18,1,14,21,17,-1,5.88,v1.3
2779,2024-01-21,10,990,DC003,3,18,1,14,21,18,0,0.0,v2.9
2780,2024-01-21,10,498,DC024,3,14,1,11,16,16,2,12.5,v1.2
2781,2024-01-21,10,115,DC017,3,20,1,16,24,23,3,13.04,v2.7
2782,2024-01-21,10,470,DC019,3,18,1,14,21,17,-1,5.88,v3.4
2783,2024-01-21,10,77,DC021,3,17,1,13,20,14,-3,21.43,v1.5
2784,2024-01-21,10,953,DC006,3,21,1,16,25,22,1,4.55,v1.0
2785,2024-01-21,10,917,DC024,3,14,1,11,16,15,1,6.67,v3.1
2786,2024-01-21,10,201,DC005,3,23,1,18,27,24,1,4.17,v1.0
2787,2024-01-21,10,331,DC013,3,29,2,23,34,31,2,6.45,v1.7
2788,2024-01-21,10,197,DC017,3,16,1,12,19,13,-3,23.08,v3.7
2789,2024-01-21,10,481,DC008,3,19,1,15,22,15,-4,26.67,v3.6
2790,2024-01-21,10,495,DC005,3,10,1,8,12,8,-2,25.0,v1.0
2791,2024-01-21,10,343,DC007,3,17,1,13,20,19,2,10.53,v2.4
2792,2024-01-21,10,966,DC019,3,16,1,12,19,13,-3,23.08,v2.8
2793,2024-01-21,10,534,DC024,3,10,1,8,12,10,0,0.0,v3.6
2794,2024-01-21,10,338,DC018,3,24,2,19,28,23,-1,4.35,v2.3
2795,2024-01-21,10,577,DC013,3,23,1,18,27,18,-5,27.78,v1.6
2796,2024-01-21,10,845,DC011,3,21,1,16,25,22,1,4.55,v2.5
2797,2024-01-21,10,750,DC020,3,28,2,22,33,29,1,3.45,v2.9
2798,2024-01-21,10,715,DC023,3,21,1,16,25,23,2,8.7,v1.8
2799,2024-01-21,10,688,DC011,3,16,1,12,19,14,-2,14.29,v3.5
2800,2024-01-21,10,689,DC010,3,22,1,17,26,22,0,0.0,v1.6
2801,2024-01-21,18,956,DC006,3,27,2,21,32,31,4,12.9,v1.4
2802,2024-01-21,18,978,DC013,3,26,2,20,31,26,0,0.0,v1.1
2803,2024-01-21,18,96,DC008,3,19,1,15,22,20,1,5.0,v3.6
2804,2024-01-21,18,243,DC020,3,19,1,15,22,18,-1,5.56,v1.5
2805,2024-01-21,18,267,DC018,3,21,1,16,25,19,-2,10.53,v2.4
2806,2024-01-21,18,301,DC002,3,22,1,17,26,22,0,0.0,v2.7
2807,2024-01-21,18,625,DC020,3,17,1,13,20,14,-3,21.43,v3.3
2808,2024-01-21,18,771,DC015,3,21,1,16,25,19,-2,10.53,v3.1
2809,2024-01-21,18,104,DC003,3,22,1,17,26,17,-5,29.41,v2.2
2810,2024-01-21,18,516,DC021,3,21,1,16,25,19,-2,10.53,v1.8
2811,2024-01-21,18,640,DC006,3,25,2,20,30,28,3,10.71,v2.5
2812,2024-01-21,18,699,DC017,3,21,1,16,25,23,2,8.7,v3.6
2813,2024-01-21,18,594,DC005,3,23,1,18,27,27,4,14.81,v1.9
2814,2024-01-21,18,653,DC010,3,13,1,10,15,14,1,7.14,v3.8
2815,2024-01-21,18,969,DC007,3,20,1,16,24,16,-4,25.0,v1.1
2816,2024-01-21,18,737,DC020,3,22,1,17,26,21,-1,4.76,v1.8
2817,2024-01-21,18,605,DC025,3,16,1,12,19,14,-2,14.29,v2.6
2818,2024-01-21,18,647,DC003,3,15,1,12,18,12,-3,25.0,v1.0
2819,2024-01-21,18,383,DC023,3,28,2,22,33,28,0,0.0,v1.2
2820,2024-01-21,18,116,DC019,3,17,1,13,20,18,1,5.56,v1.9
2821,2024-01-21,18,976,DC014,3,18,1,14,21,17,-1,5.88,v1.3
2822,2024-01-21,18,403,DC010,3,22,1,17,26,17,-5,29.41,v2.8
2823,2024-01-21,18,50,DC011,3,20,1,16,24,16,-4,25.0,v2.5
2824,2024-01-21,18,439,DC024,3,20,1,16,24,23,3,13.04,v2.4
2825,2024-01-21,18,804,DC012,3,19,1,15,22,21,2,9.52,v1.2
2826,2024-01-21,18,749,DC005,3,15,1,12,18,15,0,0.0,v2.2
2827,2024-01-21,18,761,DC002,3,11,1,8,13,10,-1,10.0,v1.6
2828,2024-01-21,18,442,DC022,3,17,1,13,20,13,-4,30.77,v1.7
2829,2024-01-21,18,990,DC023,3,24,2,19,28,23,-1,4.35,v3.6
2830,2024-01-21,18,498,DC010,3,15,1,12,18,13,-2,15.38,v3.0
2831,2024-01-21,18,115,DC003,3,17,1,13,20,17,0,0.0,v1.8
2832,2024-01-21,18,470,DC023,3,19,1,15,22,19,0,0.0,v1.0
2833,2024-01-21,18,77,DC022,3,18,1,14,21,15,-3,20.0,v2.2
2834,2024-01-21,18,953,DC016,3,26,2,20,31,21,-5,23.81,v3.6
